127.0.0.1 - - [21/May/2016:17:06:17 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/May/2016:17:06:18 +0300] "GET /com.vogella.jersey.first/ HTTP/1.1" 404 1044
192.168.1.112 - - [21/May/2016:17:07:58 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:08:04 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:08:09 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:08:14 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:08:19 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:08:24 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:08:29 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:08:34 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:08:39 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:08:44 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:08:49 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:08:54 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:08:59 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:09:04 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:09:09 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:09:14 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:09:19 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
